Time,Open,High,Low,Last,Change,Volume
"10/31/2018 16:45",5830.3,5830.3,5830.3,5830.3,0,0
"10/31/2018 16:15",5830.3,5830.3,5830.3,5830.3,0,0
"10/31/2018 16:00",5797.7,5830.3,5797.6,5830.3,29.9,0
"10/31/2018 15:45",5797.2,5801.3,5790.5,5800.4,3.2,0
"10/31/2018 15:30",5806.7,5806.7,5796.6,5797.2,-8.7,0
"10/31/2018 15:15",5802.6,5806.3,5799.9,5805.9,3.5,0
"10/31/2018 15:00",5801.6,5806.8,5801.6,5802.4,1.5,0
"10/31/2018 14:45",5795.4,5802.2,5795.4,5800.9,5.3,0
"10/31/2018 14:30",5796.1,5797,5789.5,5795.6,1.2,0
"10/31/2018 14:15",5796.7,5799.8,5792.6,5794.4,-2.1,0
"10/31/2018 14:00",5801.6,5801.6,5796,5796.5,-4.7,0
"10/31/2018 13:45",5804.7,5806.4,5801.2,5801.2,-3.2,0
"10/31/2018 13:30",5805.5,5808.4,5801.8,5804.4,-1.8,0
"10/31/2018 13:15",5810.6,5810.6,5802.8,5806.2,-4,0
"10/31/2018 13:00",5823.8,5823.8,5808.9,5810.2,-14.8,0
"10/31/2018 12:45",5819.7,5827.7,5819.7,5825,6.1,0
"10/31/2018 12:30",5814,5820.9,5812,5818.9,2.6,0
"10/31/2018 12:15",5817.9,5818.7,5812.1,5816.3,-3.5,0
"10/31/2018 12:00",5814,5819.8,5809.3,5819.8,7.1,0
"10/31/2018 11:45",5806.4,5815.5,5805.1,5812.7,4,0
"10/31/2018 11:30",5802.5,5815.5,5800.7,5808.7,6.7,0
"10/31/2018 11:15",5806.2,5809.4,5800.3,5802,-1,0
"10/31/2018 11:00",5809.1,5809.1,5799.7,5803,-6.6,0
"10/31/2018 10:45",5819.4,5819.4,5809.6,5809.6,-8.8,0
"10/31/2018 10:30",5816.6,5824.8,5816.6,5818.4,3.9,0
"10/31/2018 10:15",5808.3,5817.1,5802.8,5814.5,5.9,0
"10/31/2018 10:00",5805.1,5822,5805.1,5808.6,3.5,0
"10/30/2018 16:30",5805.1,5805.1,5805.1,5805.1,0,0
"10/30/2018 16:15",5805.1,5805.1,5805.1,5805.1,0,0
"10/30/2018 16:00",5796.5,5805.1,5796.5,5805.1,8.4,0
"10/30/2018 15:45",5789.7,5796.7,5788.9,5796.7,10,0
"10/30/2018 15:30",5792.5,5794.2,5786.4,5786.7,-4.9,0
"10/30/2018 15:15",5778,5795.6,5778,5791.6,15.2,0
"10/30/2018 15:00",5770.8,5776.4,5766.3,5776.4,4.8,0
"10/30/2018 14:45",5766.4,5772.9,5766.2,5771.6,5.8,0
"10/30/2018 14:30",5760.5,5765.8,5760,5765.8,6.1,0
"10/30/2018 14:15",5757.9,5760.3,5755.9,5759.7,1.7,0
"10/30/2018 14:00",5744,5760.1,5744,5758,15.1,0
"10/30/2018 13:45",5742,5745.3,5739.4,5742.9,1.4,0
"10/30/2018 13:30",5732.4,5742.2,5732.3,5741.5,8.8,0
"10/30/2018 13:15",5734.8,5735.9,5730.9,5732.7,0,0
"10/30/2018 13:00",5736.6,5736.7,5729.2,5732.7,-3.1,0
"10/30/2018 12:45",5730.7,5737,5726,5735.8,5.1,0
"10/30/2018 12:30",5727,5731.3,5725.5,5730.7,3.7,0
"10/30/2018 12:15",5714.5,5727,5710.9,5727,12.5,0
"10/30/2018 12:00",5717.3,5721.2,5712,5714.5,-3.9,0
"10/30/2018 11:45",5717,5727.8,5717,5718.4,3.5,0
"10/30/2018 11:30",5712.9,5716.7,5710.1,5714.9,1.8,0
"10/30/2018 11:15",5708.4,5714.4,5704.7,5713.1,4.5,0
"10/30/2018 11:00",5720.2,5720.6,5708.6,5708.6,-11.4,0
"10/30/2018 10:45",5717.3,5721.7,5711.8,5720,2.8,0
"10/30/2018 10:30",5709.2,5721.1,5709.2,5717.2,8.3,0
"10/30/2018 10:15",5694.3,5709.9,5692,5708.9,17.2,0
"10/30/2018 10:00",5728.2,5728.2,5691.7,5691.7,-36.5,0
"10/29/2018 16:30",5728.2,5728.2,5728.2,5728.2,0,0
"10/29/2018 16:15",5728.2,5728.2,5728.2,5728.2,0,0
"10/29/2018 16:00",5729.8,5730,5727.7,5728.2,-2.2,0
"10/29/2018 15:45",5725.5,5730.4,5724.1,5730.4,5.3,0
"10/29/2018 15:30",5728.4,5728.4,5721.7,5725.1,-4.1,0
"10/29/2018 15:15",5729.5,5730.1,5728,5729.2,-0.5,0
"10/29/2018 15:00",5735.3,5736.5,5729.7,5729.7,-7.3,0
"10/29/2018 14:45",5733.7,5737.6,5733.7,5737,3.8,0
"10/29/2018 14:30",5730.1,5736.9,5730.1,5733.2,3,0
"10/29/2018 14:15",5731.2,5731.2,5726.5,5730.2,-0.6,0
"10/29/2018 14:00",5728.2,5730.8,5726.9,5730.8,2.8,0
"10/29/2018 13:45",5725.5,5728.7,5718.5,5728,2,0
"10/29/2018 13:30",5716.9,5726,5716.9,5726,8.9,0
"10/29/2018 13:15",5723.1,5724.1,5715.3,5717.1,-7,0
"10/29/2018 13:00",5725.8,5731.6,5723.6,5724.1,-1.2,0
"10/29/2018 12:45",5721.6,5728.4,5721,5725.3,5,0
"10/29/2018 12:30",5723.4,5726.3,5717,5720.3,-2.2,0
"10/29/2018 12:15",5709.9,5722.5,5709.9,5722.5,10.1,0
"10/29/2018 12:00",5706.2,5712.4,5700.6,5712.4,7.1,0
"10/29/2018 11:45",5706.4,5711.3,5705.3,5705.3,-1.2,0
"10/29/2018 11:30",5709.2,5711,5706.5,5706.5,-0.4,0
"10/29/2018 11:15",5698.7,5706.9,5697.2,5706.9,9,0
"10/29/2018 11:00",5712,5712,5697.5,5697.9,-13.7,0
"10/29/2018 10:45",5706.1,5712.1,5702.5,5711.6,5.8,0
