Time,Open,High,Low,Last,Change,Volume
"05/31/2018 16:30",6011.9,6011.9,6011.9,6011.9,0,0
"05/31/2018 16:15",6011.9,6011.9,6011.9,6011.9,0,0
"05/31/2018 16:00",6007.5,6011.9,6007.5,6011.9,6,0
"05/31/2018 15:45",6007.9,6008.1,6004.6,6005.9,-1.8,0
"05/31/2018 15:30",6011.4,6011.4,6007.4,6007.7,-3.7,0
"05/31/2018 15:15",6009,6011.4,6008.6,6011.4,2.9,0
"05/31/2018 15:00",6012.2,6012.2,6008.3,6008.5,-3.4,0
"05/31/2018 14:45",6008.4,6012.1,6008.4,6011.9,3,0
"05/31/2018 14:30",6010.3,6010.3,6007.6,6008.9,-1.2,0
"05/31/2018 14:15",6012.4,6012.4,6009.9,6010.1,-2.4,0
"05/31/2018 14:00",6014.4,6015,6012.5,6012.5,-1.6,0
"05/31/2018 13:45",6012,6015.8,6012,6014.1,1.9,0
"05/31/2018 13:30",6010.1,6012.9,6009.9,6012.2,1.5,0
"05/31/2018 13:15",6009,6011.6,6009,6010.7,1.3,0
"05/31/2018 13:00",6011.3,6011.5,6009.4,6009.4,-1.3,0
"05/31/2018 12:45",6012.1,6013.6,6010.7,6010.7,-1.7,0
"05/31/2018 12:30",6016.3,6016.3,6011.4,6012.4,-5.2,0
"05/31/2018 12:15",6017.6,6017.9,6015.7,6017.6,0.7,0
"05/31/2018 12:00",6012.6,6017.5,6012.4,6016.9,4.9,0
"05/31/2018 11:45",6011.3,6012,6009.5,6012,1.3,0
"05/31/2018 11:30",6010.5,6014.5,6008.2,6010.7,1.3,0
"05/31/2018 11:15",6011.9,6013.1,6008.8,6009.4,-2.8,0
"05/31/2018 11:00",6017.4,6018.1,6011.5,6012.2,-3.2,0
"05/31/2018 10:45",6013.1,6015.9,6012.3,6015.4,2.3,0
"05/31/2018 10:30",6017.4,6018.4,6011.8,6013.1,-4.1,0
"05/31/2018 10:15",6017,6017.8,6011.3,6017.2,0,0
"05/31/2018 10:00",5984.7,6024.4,5984.7,6017.2,32.5,0
"05/30/2018 17:15",5984.7,5984.7,5984.7,5984.7,0,0
"05/30/2018 16:15",5984.7,5984.7,5984.7,5984.7,0,0
"05/30/2018 16:00",5982.7,5984.7,5982.7,5984.7,1.7,0
"05/30/2018 15:45",5979.9,5984,5979.9,5983,2.6,0
"05/30/2018 15:30",5980.8,5980.8,5978.7,5980.4,0.3,0
"05/30/2018 15:15",5976.6,5980.2,5975.8,5980.1,4.2,0
"05/30/2018 15:00",5979,5979,5974.6,5975.9,-3,0
"05/30/2018 14:45",5977.8,5979.8,5977.8,5978.9,1.3,0
"05/30/2018 14:30",5978,5979,5976.5,5977.6,0.2,0
"05/30/2018 14:15",5980.9,5980.9,5977.4,5977.4,-3.8,0
"05/30/2018 14:00",5984.9,5984.9,5980.8,5981.2,-3.7,0
"05/30/2018 13:45",5983.2,5985.7,5982.7,5984.9,2,0
"05/30/2018 13:30",5981.8,5984.5,5981.4,5982.9,1.7,0
"05/30/2018 13:15",5980.4,5981.6,5980.4,5981.2,1.1,0
"05/30/2018 13:00",5975.9,5980.1,5975.9,5980.1,4.9,0
"05/30/2018 12:45",5976.5,5976.7,5973.1,5975.2,-1.1,0
"05/30/2018 12:30",5977.4,5980,5976,5976.3,-0.7,0
"05/30/2018 12:15",5978.1,5981.1,5974.1,5977,-0.9,0
"05/30/2018 12:00",5987.8,5987.8,5975.9,5977.9,-10.5,0
"05/30/2018 11:45",5986.8,5988.7,5983.7,5988.4,1.5,0
"05/30/2018 11:30",5982.6,5987.9,5982.1,5986.9,3,0
"05/30/2018 11:15",5977,5984.6,5976.3,5983.9,8.1,0
"05/30/2018 11:00",5976.1,5976.8,5971.2,5975.8,0.1,0
"05/30/2018 10:45",5969.5,5975.9,5969.5,5975.7,5.7,0
"05/30/2018 10:30",5965.6,5970,5964.1,5970,3.9,0
"05/30/2018 10:15",5974.1,5979.7,5965.7,5966.1,-5.8,0
"05/30/2018 10:00",6013.6,6013.6,5969.4,5971.9,-41.7,0
"05/29/2018 16:30",6013.6,6013.6,6013.6,6013.6,0,0
"05/29/2018 16:15",6013.6,6013.6,6013.6,6013.6,0,0
"05/29/2018 16:00",6012.1,6013.6,6012.1,6013.6,0.5,0
"05/29/2018 15:45",6009.7,6015,6009.7,6013.1,3.2,0
"05/29/2018 15:30",6006.5,6009.9,6005.4,6009.9,3.4,0
"05/29/2018 15:15",6011.5,6013.4,6005.2,6006.5,-6.1,0
"05/29/2018 15:00",6016.5,6017,6012.2,6012.6,-4.5,0
"05/29/2018 14:45",6016,6017.6,6015.6,6017.1,1.1,0
"05/29/2018 14:30",6015.2,6016.9,6014.5,6016,1,0
"05/29/2018 14:15",6021,6021.3,6014.8,6015,-5.4,0
"05/29/2018 14:00",6018.4,6020.6,6017.9,6020.4,2.3,0
"05/29/2018 13:45",6014.9,6018.3,6014.6,6018.1,3.6,0
"05/29/2018 13:30",6015.9,6016.3,6014.2,6014.5,-1.8,0
"05/29/2018 13:15",6016.7,6017.6,6015.4,6016.3,-0.4,0
