Time,Open,High,Low,Last,Change,%Chg,Volume
"08/31/2020 23:59",1.09512,1.09515,1.0951,1.09512,0,0.00%,91
"08/31/2020 23:58",1.09516,1.09518,1.0951,1.09512,-3.0E-5,0.00%,79
"08/31/2020 23:57",1.09508,1.0952,1.09501,1.09515,5.0E-5,0.00%,105
"08/31/2020 23:56",1.09505,1.09526,1.09505,1.0951,6.0E-5,+0.01%,101
"08/31/2020 23:55",1.09494,1.09511,1.09489,1.09504,8.0E-5,+0.01%,171
"08/31/2020 23:54",1.09495,1.09501,1.09489,1.09496,0,0.00%,112
"08/31/2020 23:53",1.09495,1.09506,1.09494,1.09496,2.0E-5,0.00%,149
"08/31/2020 23:52",1.09485,1.09495,1.09485,1.09494,9.0E-5,+0.01%,107
"08/31/2020 23:51",1.09483,1.09494,1.09483,1.09485,0,0.00%,146
"08/31/2020 23:50",1.09492,1.09494,1.09483,1.09485,-8.0E-5,-0.01%,88
"08/31/2020 23:49",1.09487,1.09495,1.09484,1.09493,6.0E-5,+0.01%,120
"08/31/2020 23:48",1.09491,1.09491,1.09475,1.09487,-3.0E-5,0.00%,45
"08/31/2020 23:47",1.09475,1.09492,1.09471,1.0949,0.00016,+0.01%,71
"08/31/2020 23:46",1.09492,1.09495,1.09474,1.09474,-0.0002,-0.02%,124
"08/31/2020 23:45",1.09489,1.09497,1.09488,1.09494,6.0E-5,+0.01%,108
"08/31/2020 23:44",1.09477,1.09488,1.09477,1.09488,0.00012,+0.01%,119
"08/31/2020 23:43",1.09496,1.09504,1.09476,1.09476,-0.00019,-0.02%,158
"08/31/2020 23:42",1.09491,1.09498,1.0949,1.09495,3.0E-5,0.00%,166
"08/31/2020 23:41",1.09495,1.09498,1.09488,1.09492,-4.0E-5,0.00%,89
"08/31/2020 23:40",1.09493,1.09496,1.09487,1.09496,3.0E-5,0.00%,124
"08/31/2020 23:39",1.09529,1.09531,1.09493,1.09493,-0.00035,-0.03%,131
"08/31/2020 23:38",1.09536,1.09545,1.09528,1.09528,-8.0E-5,-0.01%,120
"08/31/2020 23:37",1.09542,1.09556,1.09536,1.09536,-6.0E-5,-0.01%,164
"08/31/2020 23:36",1.09557,1.09557,1.09529,1.09542,-0.00015,-0.01%,160
"08/31/2020 23:35",1.09552,1.09563,1.09551,1.09557,5.0E-5,0.00%,137
"08/31/2020 23:34",1.09543,1.09558,1.09539,1.09552,8.0E-5,+0.01%,230
"08/31/2020 23:33",1.09523,1.09546,1.09519,1.09544,0.00022,+0.02%,218
"08/31/2020 23:32",1.09559,1.09567,1.09514,1.09522,-0.00037,-0.03%,215
"08/31/2020 23:31",1.09541,1.09561,1.09538,1.09559,0.00018,+0.02%,233
"08/31/2020 23:30",1.09461,1.09552,1.09454,1.09541,0.00079,+0.07%,319
"08/31/2020 23:29",1.09472,1.09476,1.09462,1.09462,-0.0001,-0.01%,127
"08/31/2020 23:28",1.09488,1.09488,1.0947,1.09472,-0.00017,-0.02%,78
"08/31/2020 23:27",1.09496,1.09496,1.09485,1.09489,-6.0E-5,-0.01%,53
"08/31/2020 23:26",1.09496,1.09498,1.0949,1.09495,-2.0E-5,0.00%,42
"08/31/2020 23:25",1.09514,1.0952,1.09497,1.09497,-0.00018,-0.02%,97
"08/31/2020 23:24",1.09529,1.09531,1.09514,1.09515,-0.00014,-0.01%,142
"08/31/2020 23:23",1.09517,1.09531,1.09517,1.09529,0.00012,+0.01%,68
"08/31/2020 23:22",1.09512,1.09521,1.09508,1.09517,4.0E-5,0.00%,64
"08/31/2020 23:21",1.09522,1.09523,1.0951,1.09513,-8.0E-5,-0.01%,144
"08/31/2020 23:20",1.0952,1.09529,1.09519,1.09521,2.0E-5,0.00%,96
"08/31/2020 23:19",1.09533,1.09535,1.09518,1.09519,-0.00014,-0.01%,81
"08/31/2020 23:18",1.09513,1.09533,1.09513,1.09533,0.00017,+0.02%,98
"08/31/2020 23:17",1.09521,1.09523,1.09515,1.09516,-6.0E-5,-0.01%,108
"08/31/2020 23:16",1.09522,1.09524,1.09518,1.09522,-1.0E-5,0.00%,89
"08/31/2020 23:15",1.09521,1.09524,1.09514,1.09523,2.0E-5,0.00%,98
"08/31/2020 23:14",1.09535,1.09535,1.09521,1.09521,-0.00014,-0.01%,101
"08/31/2020 23:13",1.09521,1.09539,1.09521,1.09535,0.00015,+0.01%,58
"08/31/2020 23:12",1.09519,1.09528,1.09517,1.0952,2.0E-5,0.00%,73
"08/31/2020 23:11",1.09531,1.09539,1.09517,1.09518,-0.00019,-0.02%,111
"08/31/2020 23:10",1.09536,1.0954,1.0953,1.09537,2.0E-5,0.00%,134
"08/31/2020 23:09",1.09541,1.09543,1.09527,1.09535,-7.0E-5,-0.01%,201
"08/31/2020 23:08",1.09557,1.09564,1.09542,1.09542,-0.00016,-0.01%,103
"08/31/2020 23:07",1.09547,1.09561,1.09547,1.09558,0.00011,+0.01%,90
"08/31/2020 23:06",1.09551,1.09556,1.09537,1.09547,-3.0E-5,0.00%,69
"08/31/2020 23:05",1.09549,1.09555,1.09547,1.0955,0,0.00%,96
